ID_Cliente,Churn,Gênero,Idoso,Parceiro,Dependentes,MesesContrato,AssinaturaTelefone,MultiplasLinhas,AssinaturaInternet,SegurancaOnline,BackupOnline,ProtecaoDispositivo,SuporteTecnico,StreamingTV,StreamingFilmes,TipoContrato,FaturaOnline,FormaPagamento,Faturamento_Mensal,FaturamentoTotal,Contas_Diarias,Idade_Churn,Status_Cliente
0106-UGRDO,0,Feminino,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Cheque Eletrônico,116.0,8182.85,3.8666666666666667,Menor que 65 anos,Permaneceu
0107-WESLM,1,Masculino,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Cheque Eletrônico,19.85,19.85,0.6616666666666667,Igual ou maior que 65 anos,Saiu
0107-YHINA,1,Masculino,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,99.75,99.75,3.325,Igual ou maior que 65 anos,Saiu
0111-KLBQG,0,Masculino,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Mensal,Yes,Boleto Correio,93.95,2861.45,3.131666666666667,Menor que 65 anos,Permaneceu
0112-QAWRZ,0,Masculino,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Mensal,Yes,Transferência Bancária,90.8,1442.2,3.0266666666666664,Menor que 65 anos,Permaneceu
0112-QWPNC,1,Masculino,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,1 ano,No,Cheque Eletrônico,84.35,4059.35,2.8116666666666665,Igual ou maior que 65 anos,Saiu
0114-IGABW,0,Feminino,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,No,Transferência Bancária,58.25,4145.9,1.9416666666666667,Menor que 65 anos,Permaneceu
0114-PEGZZ,0,Feminino,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Mensal,No,Cheque Eletrônico,107.55,3645.5,3.585,Menor que 65 anos,Permaneceu
0114-RSRRW,0,Feminino,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Transferência Bancária,19.95,187.75,0.6649999999999999,Menor que 65 anos,Permaneceu
0115-TFERT,1,Masculino,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Mensal,Yes,Cheque Eletrônico,111.2,2317.1,3.7066666666666666,Igual ou maior que 65 anos,Saiu
0117-LFRMW,1,Masculino,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Mensal,No,Transferência Bancária,40.2,1448.8,1.34,Igual ou maior que 65 anos,Saiu
0118-JPNOY,0,Feminino,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Mensal,Yes,Cartão de Crédito,85.8,2193.65,2.86,Menor que 65 anos,Permaneceu
0121-SNYRK,0,Masculino,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,1 ano,Yes,Boleto Correio,35.4,1748.9,1.18,Menor que 65 anos,Permaneceu
0122-OAHPZ,1,Feminino,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Cheque Eletrônico,73.85,511.25,2.4616666666666664,Igual ou maior que 65 anos,Saiu
0123-CRBRT,0,Feminino,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,Boleto Correio,88.1,5526.75,2.9366666666666665,Menor que 65 anos,Permaneceu
0125-LZQXK,1,Masculino,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Mensal,Yes,Cheque Eletrônico,101.35,1553.95,3.378333333333333,Igual ou maior que 65 anos,Saiu
0128-MKWSG,0,Feminino,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Mensal,No,Boleto Correio,45.8,1147,1.5266666666666666,Menor que 65 anos,Permaneceu
0129-KPTWJ,0,Masculino,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,94.65,6747.35,3.1550000000000002,Menor que 65 anos,Permaneceu
0129-QMPDR,0,Masculino,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,Yes,Transferência Bancária,20.5,865.05,0.6833333333333333,Menor que 65 anos,Permaneceu
0130-SXOUN,0,Masculino,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Mensal,No,Cartão de Crédito,89.4,5976.9,2.98,Menor que 65 anos,Permaneceu
0133-BMFZO,1,Feminino,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Mensal,Yes,Cheque Eletrônico,86.25,181.65,2.875,Igual ou maior que 65 anos,Saiu
0134-XWXCE,0,Feminino,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,1 ano,No,Transferência Bancária,74.85,3268.05,2.4949999999999997,Menor que 65 anos,Permaneceu
0135-NMXAP,1,Feminino,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensal,Yes,Transferência Bancária,89.75,1052.4,2.9916666666666667,Igual ou maior que 65 anos,Saiu
0136-IFMYD,0,Masculino,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Cheque Eletrônico,109.95,7634.25,3.665,Menor que 65 anos,Permaneceu
0137-OCGAB,1,Feminino,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Mensal,Yes,Boleto Correio,80.2,80.2,2.6733333333333333,Igual ou maior que 65 anos,Saiu
0137-UDEUO,1,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Boleto Correio,19.85,63.75,0.6616666666666667,Igual ou maior que 65 anos,Saiu
0139-IVFJG,0,Feminino,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Mensal,No,Cheque Eletrônico,90.35,190.5,3.0116666666666663,Menor que 65 anos,Permaneceu
0141-YEAYS,0,Feminino,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Mensal,Yes,Transferência Bancária,86.45,2401.05,2.881666666666667,Menor que 65 anos,Permaneceu
0142-GVYSN,0,Masculino,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,Yes,Cheque Eletrônico,20.3,511.25,0.6766666666666666,Menor que 65 anos,Permaneceu
0147-ESWWR,0,Feminino,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Mensal,Yes,Cheque Eletrônico,101.25,3949.15,3.375,Menor que 65 anos,Permaneceu
0148-DCDOS,1,Masculino,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Transferência Bancária,94.7,2362.1,3.1566666666666667,Igual ou maior que 65 anos,Saiu
0151-ONTOV,1,Feminino,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Mensal,No,Boleto Correio,70.9,70.9,2.3633333333333337,Igual ou maior que 65 anos,Saiu
0156-FVPTA,1,Masculino,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Mensal,Yes,Cheque Eletrônico,54.2,1152.7,1.8066666666666669,Igual ou maior que 65 anos,Saiu
0164-APGRB,0,Feminino,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,Cheque Eletrônico,114.9,8496.7,3.83,Menor que 65 anos,Permaneceu
0164-XAIRP,0,Feminino,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Transferência Bancária,19.55,470.2,0.6516666666666667,Menor que 65 anos,Permaneceu
0168-XZKBB,0,Feminino,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Mensal,Yes,Cheque Eletrônico,86.85,1564.4,2.895,Menor que 65 anos,Permaneceu
0174-QRVVY,0,Masculino,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,No,Cartão de Crédito,25.35,1847.55,0.8450000000000001,Menor que 65 anos,Permaneceu
0177-PXBAT,0,Masculino,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensal,Yes,Transferência Bancária,109.9,3694.7,3.6633333333333336,Menor que 65 anos,Permaneceu
0178-CIIKR,0,Feminino,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Boleto Correio,19.95,58,0.6649999999999999,Menor que 65 anos,Permaneceu
0178-SZBHO,0,Masculino,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Mensal,No,Cheque Eletrônico,87.2,4017.45,2.9066666666666667,Menor que 65 anos,Permaneceu
0181-RITDD,0,Masculino,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,Boleto Correio,108.15,6825.65,3.605,Menor que 65 anos,Permaneceu
0186-CAERR,0,Masculino,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Transferência Bancária,116.3,8309.55,3.8766666666666665,Menor que 65 anos,Permaneceu
0187-QSXOE,0,Masculino,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,89.0,605.45,2.966666666666667,Menor que 65 anos,Permaneceu
0187-WZNAB,0,Feminino,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Mensal,No,Boleto Correio,74.4,1972.35,2.48,Menor que 65 anos,Permaneceu
0188-GWFLE,0,Masculino,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Boleto Correio,20.05,33.7,0.6683333333333333,Menor que 65 anos,Permaneceu
0191-EQUUH,0,Feminino,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,2 anos,No,Transferência Bancária,35.05,844.45,1.1683333333333332,Menor que 65 anos,Permaneceu
0191-ZHSKZ,0,Masculino,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,74.75,2111.3,2.4916666666666667,Menor que 65 anos,Permaneceu
0193-ESZXP,1,Feminino,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,1 ano,Yes,Cartão de Crédito,105.5,6205.5,3.5166666666666666,Igual ou maior que 65 anos,Saiu
0195-IESCP,1,Masculino,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mensal,Yes,Cheque Eletrônico,85.25,855.3,2.841666666666667,Igual ou maior que 65 anos,Saiu
0196-JTUQI,0,Feminino,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Mensal,Yes,Cartão de Crédito,75.2,633.85,2.506666666666667,Menor que 65 anos,Permaneceu
0196-VULGZ,1,Feminino,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Mensal,Yes,Cheque Eletrônico,84.35,474.9,2.8116666666666665,Igual ou maior que 65 anos,Saiu
0197-PNKNK,0,Feminino,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,1 ano,No,Transferência Bancária,84.45,5848.6,2.815,Menor que 65 anos,Permaneceu
0201-MIBOL,0,Feminino,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,2 anos,Yes,Transferência Bancária,102.4,6471.85,3.4133333333333336,Menor que 65 anos,Permaneceu
0201-OAMXR,1,Feminino,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,No,Cartão de Crédito,115.55,8127.6,3.8516666666666666,Igual ou maior que 65 anos,Saiu
0203-HHYIJ,1,Masculino,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1 ano,No,Transferência Bancária,25.3,676.35,0.8433333333333334,Igual ou maior que 65 anos,Saiu
0206-OYVOC,0,Feminino,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,2 anos,Yes,Boleto Correio,19.25,864.2,0.6416666666666667,Menor que 65 anos,Permaneceu
0206-TBWLC,0,Feminino,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1 ano,Yes,Boleto Correio,114.65,6049.5,3.8216666666666668,Menor que 65 anos,Permaneceu
0207-MDKNV,1,Feminino,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Mensal,No,Cheque Eletrônico,105.1,1582.75,3.503333333333333,Igual ou maior que 65 anos,Saiu
0208-BPQEJ,0,Feminino,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Mensal,No,Transferência Bancária,19.4,198.1,0.6466666666666666,Menor que 65 anos,Permaneceu
0212-ISBBF,0,Feminino,0,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Mensal,Yes,Cheque Eletrônico,50.35,1098.85,1.6783333333333335,Menor que 65 anos,Permaneceu
0214-JHPFW,0,Feminino,0,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,2 anos,No,Transferência Bancária,57.8,4039.3,1.9266666666666665,Menor que 65 anos,Permaneceu
